"","S","N","H","J","inv.D"
"ECAR.DC3.1.2023",1701,92668,6.22866563508688,0.837301978872166,134.54650387809
"ECAR.DC3.1.2024",2326,231309,5.70690205645891,0.736193466154269,69.2994243571547
"ECAR.DC3.2.2023",430,57110,1.89674666759636,0.312799118425052,1.97680229410863
"ECAR.DC3.2.2024",1007,46040,6.10385361495142,0.88273191099584,196.517338028702
"ECAR.DC3.3.2023",879,111508,4.65991395133585,0.687426142246691,31.1663232983094
"ECAR.DC3.3.2024",834,44270,5.4026381922013,0.803218959114132,82.7836718770196
"ECAR.DC3.32.2023",1132,62854,4.94574950935775,0.703346344434138,31.889385434311
"ECAR.DC3.4.2023",1810,92033,6.29416749192935,0.839101264012677,186.530510016921
"ECAR.DC3.4.2024",1088,60645,5.44807435530876,0.779176090013141,75.5077751543547
"ECAR.DC3.5.2023",1578,117404,4.89452109326641,0.664663034449279,14.572087596117
"ECAR.DC3.5.2024",1877,185965,5.3708987375674,0.712563660491332,39.2884563530535
"EFLE.BC3.3.2023",110,108640,0.681074286434502,0.144894613620981,1.24829518275691
"EFLE.BC3.5.2023",76,78335,0.353696349600996,0.0816712371345429,1.11267441722104
"EFLE.BC4.1.2023",1374,106985,5.57542947967735,0.77163431955081,62.5490543774208
"EFLE.BC4.2.2023",80,48765,1.66781371197851,0.380603280404897,2.53350681974714
"EFLE.BC4.2.2024",324,88230,3.14534704015095,0.544107696796826,8.15400626993034
"EFLE.BC4.3.2024",327,94202,3.17680079427964,0.548674032378938,8.42591565573753
"EFLE.BC4.4.2024",206,31005,3.10411538777414,0.582617780412744,8.1958350620954
"EFLE.BC6.2.2024",172,33546,2.88377183882309,0.560228253145846,6.98518575965102
"EFLE.BC6.3.2023",176,86811,0.910855647218545,0.176164484425954,1.89590415647412
"EFLE.BC6.4.2024",455,56168,3.82875574462544,0.625583281748701,13.6641460277055
"EFLE.DC1.2.2023",76,38001,1.82862799918486,0.422244422711087,3.96580416787322
"EFLE.DC1.2.2024",72,96784,1.32571955491737,0.309989023698297,2.76066559097621
"EFLE.DC1.3.2023",164,56108,2.55901037247074,0.501779881627706,6.45736027766618
"EFLE.DC1.4.2023",89,51975,0.923939832465468,0.205839759864666,1.85946449958233
"EFLE.DC3.1.2023",154,51062,2.80943534671735,0.557764896451699,7.46171925058707
"EFLE.DC3.3.2023",143,70834,0.80690246261253,0.162588701184118,1.40299746734777
"EFLE.DC3.4.2024",123,100898,1.55268611579812,0.322657238612372,2.8394358233001
"EFLE.DC3.5.2024",62,14958,0.937620921439195,0.227184490245028,1.82440738416829
"MMUR.BC4.1.2023",260,168765,2.30109286250241,0.413814890906129,5.09023889877273
"MMUR.BC4.1.2024",44,43754,2.0590490921307,0.544118897656485,5.09499187768752
"MMUR.BC4.2.2023",271,80374,2.34634227195331,0.41883122207409,4.69086522821199
"MMUR.BC4.2.2024",152,64836,1.88050377888318,0.374312997906728,3.93918868214297
"MMUR.BC4.3.2023",99,79971,2.32847511729348,0.506727831533116,5.70410950052172
"MMUR.BC4.4.2023",179,122098,2.29141214241213,0.441727727255626,5.92090397380335
"MMUR.BC4.4.2024",90,80391,1.30879679191845,0.290856033433608,2.27476828955333
"MMUR.BC4.5.2024",70,76067,1.9524930927251,0.459572856149244,4.3265266251013
"MMUR.BC4.6.2024",105,151957,1.86478385233153,0.400687524608673,4.05644898922243
"MMUR.BC6.1.2023",461,83651,3.0308835081918,0.494160575743585,5.58281755064841
"MMUR.BC6.1.2024",132,111474,2.05440245053228,0.420742533304338,4.65259326022515
"MMUR.BC6.2.2023",427,117112,2.88286720663003,0.475973255829093,7.09495363374149
"MMUR.BC6.2.2024",130,154716,1.82141881602978,0.37419741648861,4.30460729271939
"MMUR.BC6.3.2023",128,65492,1.81874995614007,0.374843077477186,3.35590474512294
"MMUR.BC6.3.2024",78,73887,0.936450227868187,0.214944414492749,1.79618962794011
"MMUR.BC6.4.2023",106,87564,2.10250825926043,0.450849301734207,4.28863903415103
"MMUR.BC6.4.2024",101,69015,1.78635721255443,0.387066211171679,3.89851130914815
"MMUR.BC6.5.2023",87,72852,1.42325048685441,0.318692290356207,2.28563572242916
"MMUR.DC1.1.2024",41,8039,1.64988004033927,0.444283835267938,2.63194966050465
"MMUR.DC1.2.2.2023",84,77181,2.02262119439322,0.456489465987678,5.26167963630934
"MMUR.DC1.2.2023",64,61395,2.15650008011254,0.518528661875836,5.50982358502283
"MMUR.DC1.2.2024",92,127044,1.56796589934092,0.346757897372589,2.52234151335942
"MMUR.DC1.2c.2023",143,41645,1.85725794685433,0.374232539042243,2.33065941791237
"MMUR.DC1.3.2023",69,69937,1.94528158069261,0.459431423980593,4.14310533744232
"MMUR.DC1.3.2024",182,86501,2.98476981211913,0.573552263015201,10.355155571971
"MMUR.DC1.4.2024",50,23729,1.97635194050646,0.505199467836503,5.04554437511426
"MMUR.DC1.5.2023",49,89227,1.94442150617229,0.499617494445018,5.34518730641632
"MMUR.DC1.5.2024",87,146875,1.27576007949859,0.285666441315619,1.84032284603185
"MMUR.DC3.1.2024",146,32113,2.03216012537837,0.407768967262862,3.92793005004606
"MMUR.DC3.2.2023",121,75808,2.32326197880733,0.484437749463523,7.0375987861329
"MMUR.DC3.2.2024",261,75056,1.90485166905583,0.342320906317303,3.15324782503629
"MMUR.DC3.3.2023",117,95287,2.33971890971599,0.491313198919383,6.32722627492211
"MMUR.DC3.3.2024",74,28484,2.96187896457192,0.688158496777507,12.1183932553873
"MMUR.DC3.4.2024",278,70534,3.22835754970918,0.573662918041047,12.0420565601089
"MMUR.DC3.5.2023",81,83529,0.55177883139431,0.125562684189354,1.2558291697962
