"","Order.Abundance"
"Oceanospirillales",24.3915714869723
"Mycoplasmatales",14.4638563434091
"Entomoplasmatales",10.8849980928875
"Rhodobacterales",9.09903110652922
"Rhizobiales",7.45768006116437
"uncultured",5.29765435866326
"Chloroplast",5.08181614173631
"Puniceispirillales",4.47081964166175
"Cellvibrionales",3.1602115578568
"Flavobacteriales",2.92013950998546
